交易日期,股票代码,月收盘价,收益率（红利）,收益率（无红利）,,
2013-01,2507,25.510,0.080017,0.080017,,
2013-02,2507,25.700,0.007448,0.007448,,
2013-03,2507,25.560,-0.005447,-0.005447,,
2013-04,2507,22.490,-0.120110,-0.120110,,
2013-05,2507,25.540,0.135616,0.135616,,
2013-06,2507,21.700,-0.137649,-0.136648,,
2013-07,2507,26.330,0.213364,0.213364,,
2013-08,2507,29.590,0.123813,0.123813,,
2013-09,2507,39.980,0.351132,0.351132,,
2013-10,2507,34.030,-0.148824,-0.148824,,
2013-11,2507,37.000,0.087276,0.087276,,
2013-12,2507,37.800,0.021622,0.021622,,
2014-01,2507,32.320,-0.144974,-0.144974,,
2014-02,2507,30.910,-0.043626,-0.043626,,
2014-03,2507,29.980,-0.030087,-0.030087,,
2014-04,2507,30.390,0.013676,0.013676,,
2014-05,2507,31.660,0.041790,0.041790,,
2014-06,2507,31.090,-0.018004,-0.018004,,
2014-07,2507,23.350,-0.016845,-0.017208,,
2014-08,2507,24.900,0.066381,0.066381,,
2014-09,2507,26.590,0.067871,0.067871,,
2014-10,2507,26.090,-0.018804,-0.018804,,
2014-11,2507,29.170,0.118053,0.118053,,
2014-12,2507,28.800,-0.012684,-0.012684,,
2015-01,,,,,,
2015-02,,,,,,
2015-03,2507,31.590,0.096875,0.096875,,
2015-04,2507,32.600,0.031972,0.031972,,
2015-05,2507,37.980,0.165031,0.165031,,
2015-06,2507,42.200,0.111111,0.111111,,
2015-07,2507,18.430,-0.299100,-0.298863,,
2015-08,2507,17.580,-0.046120,-0.046120,,
2015-09,2507,16.250,-0.075654,-0.075654,,
2015-10,2507,18.870,0.161231,0.161231,,
2015-11,2507,18.390,-0.025437,-0.025437,,
2015-12,2507,18.770,0.020663,0.020663,,
2016-01,2507,15.240,-0.188066,-0.188066,,
2016-02,2507,14.940,-0.019685,-0.019685,,
2016-03,2507,17.390,0.163989,0.163989,,
2016-04,,,,,,
2016-05,,,,,,
2016-06,2507,12.040,0.120536,0.119264,,
2016-07,2507,12.820,0.064784,0.064784,,
2016-08,2507,13.400,0.045242,0.045242,,
2016-09,2507,13.440,0.002985,0.002985,,
2016-10,2507,14.820,0.102679,0.102679,,
2016-11,2507,13.900,-0.062078,-0.062078,,
2016-12,2507,13.380,-0.037410,-0.037410,,
2017-01,2507,14.260,0.065770,0.065770,,
2017-02,2507,15.480,0.085554,0.085554,,
2017-03,2507,15.730,0.016150,0.016150,,
2017-04,,16.920,0.075652,0.075652,,
2017-05,2507,10.930,-0.025156,-0.025118,,
2017-06,2507,11.240,0.028362,0.028362,,
2017-07,2507,12.900,0.147687,0.147687,,
2017-08,2507,13.460,0.043411,0.043411,,
2017-09,2507,14.870,0.104755,0.104755,,
2017-10,2507,17.080,0.148621,0.148621,,
2017-11,2507,16.280,-0.046838,-0.046838,,
2017-12,2507,16.770,0.030098,0.030098,,
2018-01,,,,,,
2018-02,,,,,,
2018-03,2507,19.300,0.150865,0.150865,,
2018-04,2507,22.300,0.155440,0.155440,,
2018-05,2507,27.800,0.246637,0.246637,,
2018-06,2507,25.680,-0.071070,-0.070863,,
2018-07,2507,30.350,0.181854,0.181854,,
2018-08,2507,24.480,-0.193410,-0.193410,,
2018-09,2507,26.050,0.064134,0.064134,,
2018-10,2507,20.200,-0.224568,-0.224568,,
2018-11,2507,21.080,0.043564,0.043564,,
2018-12,2507,21.600,0.024668,0.024668,,
2019-01,2507,23.000,0.064815,0.064815,,
2019-02,2507,26.390,0.147391,0.147391,,
2019-03,2507,31.020,0.175445,0.175445,,
2019-04,2507,28.690,-0.075113,-0.075113,,
2019-05,2507,28.690,0.000000,0.000000,,
2019-06,2507,30.500,0.072949,0.072151,,
