交易日期,股票代码,月收盘价,收益率（红利）,收益率（无红利）,,
2013-01,600519,178.900,-0.144101,-0.144101,,
2013-02,600519,175.000,-0.021800,-0.021800,,
2013-03,600519,168.860,-0.035086,-0.035086,,
2013-04,600519,173.990,0.030380,0.030380,,
2013-05,600519,197.100,0.132824,0.132824,,
2013-06,600519,192.370,0.007924,0.008569,,
2013-07,600519,168.500,-0.124084,-0.124084,,
2013-08,600519,168.780,0.001662,0.001662,,
2013-09,600519,135.940,-0.194573,-0.194573,,
2013-10,600519,135.110,-0.006106,-0.006106,,
2013-11,600519,141.440,0.046851,0.046851,,
2013-12,600519,128.380,-0.092336,-0.092336,,
2014-01,600519,132.200,0.029755,0.029755,,
2014-02,600519,150.020,0.134796,0.134796,,
2014-03,600519,154.700,0.031196,0.031196,,
2014-04,600519,163.880,0.059341,0.059341,,
2014-05,600519,153.220,-0.065048,-0.065048,,
2014-06,600519,141.980,0.047802,0.047853,,
2014-07,600519,160.270,0.128821,0.128821,,
2014-08,600519,158.230,-0.012729,-0.012729,,
2014-09,600519,162.130,0.024648,0.024648,,
2014-10,600519,156.680,-0.033615,-0.033615,,
2014-11,600519,155.840,-0.005361,-0.005361,,
2014-12,600519,189.620,0.216761,0.216761,,
2015-01,600519,177.180,-0.065605,-0.065605,,
2015-02,600519,191.050,0.078282,0.078282,,
2015-03,600519,195.960,0.025700,0.025700,,
2015-04,600519,252.230,0.287150,0.287150,,
2015-05,600519,263.830,0.045990,0.045990,,
2015-06,600519,257.650,-0.023424,-0.023424,,
2015-07,600519,206.830,-0.101588,-0.099992,,
2015-08,600519,195.370,-0.055408,-0.055408,,
2015-09,600519,190.310,-0.025900,-0.025900,,
2015-10,600519,213.860,0.123745,0.123745,,
2015-11,600519,214.310,0.002104,0.002104,,
2015-12,600519,218.190,0.018105,0.018105,,
2016-01,600519,200.650,-0.080389,-0.080389,,
2016-02,600519,214.910,0.071069,0.071069,,
2016-03,600519,247.640,0.152296,0.152296,,
2016-04,600519,251.200,0.014376,0.014376,,
2016-05,600519,264.470,0.052826,0.052826,,
2016-06,600519,291.920,0.103792,0.103792,,
2016-07,600519,313.150,0.095858,0.093865,,
2016-08,600519,310.190,-0.009452,-0.009452,,
2016-09,600519,297.910,-0.039589,-0.039589,,
2016-10,600519,317.950,0.067269,0.067269,,
2016-11,600519,319.080,0.003554,0.003554,,
2016-12,600519,334.150,0.047230,0.047230,,
2017-01,600519,344.420,0.030735,0.030735,,
2017-02,600519,354.660,0.029731,0.029731,,
2017-03,600519,386.360,0.089381,0.089381,,
2017-04,600519,413.480,0.070194,0.070194,,
2017-05,600519,442.940,0.071249,0.071249,,
2017-06,600519,471.850,0.065268,0.065268,,
2017-07,600519,481.220,0.035378,0.034242,,
2017-08,600519,491.150,0.020635,0.020635,,
2017-09,600519,517.640,0.053935,0.053935,,
2017-10,600519,618.030,0.193938,0.193938,,
2017-11,600519,631.000,0.020986,0.020986,,
2017-12,600519,697.490,0.105372,0.105372,,
2018-01,600519,764.540,0.096130,0.096130,,
2018-02,600519,725.620,-0.050906,-0.050906,,
2018-03,600519,683.620,-0.057882,-0.057882,,
2018-04,600519,662.530,-0.030850,-0.030850,,
2018-05,600519,751.130,0.133730,0.133730,,
2018-06,600519,731.460,-0.012337,-0.011544,,
2018-07,600519,726.440,-0.006863,-0.006863,,
2018-08,600519,659.190,-0.092575,-0.092575,,
2018-09,600519,730.000,0.107420,0.107420,,
2018-10,600519,548.900,-0.248082,-0.248082,,
2018-11,600519,565.000,0.029331,0.029331,,
2018-12,600519,590.010,0.044265,0.044265,,
2019-01,600519,689.600,0.168794,0.168794,,
2019-02,600519,755.010,0.094852,0.094852,,
2019-03,600519,853.990,0.131098,0.131098,,
2019-04,600519,974.000,0.140529,0.140529,,
2019-05,600519,890.000,-0.086242,-0.086242,,
2019-06,600519,984.000,0.121953,0.121954,,
