Stkcd,Trdmnt,Mretwd
600000,2013-01-01,0.157258
600000,2013-02-01,-0.036585
600000,2013-03-01,-0.084087
600000,2013-04-01,-0.024679
600000,2013-05-01,0.059717
600000,2013-06-01,-0.164966
600000,2013-07-01,-0.050725
600000,2013-08-01,0.143766
600000,2013-09-01,0.122358
600000,2013-10-01,0.023786
600000,2013-11-01,-0.032914
600000,2013-12-01,-0.056056
600000,2014-01-01,-0.027572
600000,2014-02-01,-0.028353
600000,2014-03-01,0.090909
600000,2014-04-01,0.005144
600000,2014-05-01,-0.020471
600000,2014-06-01,0.014705
600000,2014-07-01,0.082873
600000,2014-08-01,-0.033673
600000,2014-09-01,0.029567
600000,2014-10-01,0.046154
600000,2014-11-01,0.215686
600000,2014-12-01,0.265323
600000,2015-01-01,-0.077757
600000,2015-02-01,0.004147
600000,2015-03-01,0.086717
600000,2015-04-01,0.144395
600000,2015-05-01,-0.057001
600000,2015-06-01,0.039573
600000,2015-07-01,-0.111439
600000,2015-08-01,-0.007299
600000,2015-09-01,0.111631
600000,2015-10-01,-0.014432
600000,2015-11-01,0.137889
600000,2015-12-01,-0.020375
600000,2016-01-01,-0.074986
600000,2016-02-01,0.091716
600000,2016-03-01,-0.028184
600000,2016-04-01,-0.005577
600000,2016-05-01,0.025799
600000,2016-06-01,-0.035698
600000,2016-07-01,0.008349
600000,2016-08-01,0.049682
600000,2016-09-01,0.000607
600000,2016-10-01,-0.013341
600000,2016-11-01,0.054702
600000,2016-12-01,-0.055361
600000,2017-01-01,0.032696
600000,2017-02-01,-0.008961
600000,2017-03-01,-0.034961
600000,2017-04-01,-0.049969
600000,2017-05-01,0.110493
600000,2017-06-01,-0.014798
600000,2017-07-01,0.056126
600000,2017-08-01,-0.048653
600000,2017-09-01,0.012589
600000,2017-10-01,-0.020202
600000,2017-11-01,0.023791
600000,2017-12-01,-0.024787
600000,2018-01-01,0.046068
600000,2018-02-01,-0.05391
600000,2018-03-01,-0.065008
600000,2018-04-01,-0.003433
600000,2018-05-01,-0.091301
600000,2018-06-01,-0.093839
600000,2018-07-01,0.075016
600000,2018-08-01,0.015733
600000,2018-09-01,0.028074
600000,2018-10-01,0.033898
600000,2018-11-01,-0.02459
600000,2018-12-01,-0.084967
600004,2013-01-01,0.069111
600004,2013-02-01,-0.01715
600004,2013-03-01,-0.072483
600004,2013-04-01,-0.007236
600004,2013-05-01,0.027697
600004,2013-06-01,-0.107801
600004,2013-07-01,0.010955
600004,2013-08-01,0.12272
600004,2013-09-01,0
600004,2013-10-01,0.029542
600004,2013-11-01,0.022956
600004,2013-12-01,-0.025245
600004,2014-01-01,-0.033093
600004,2014-02-01,0.052083
600004,2014-03-01,-0.008487
600004,2014-04-01,-0.015692
600004,2014-05-01,0.011594
600004,2014-06-01,0.008596
600004,2014-07-01,0.053977
600004,2014-08-01,0.055245
600004,2014-09-01,0.122312
600004,2014-10-01,0.098204
600004,2014-11-01,0.099237
600004,2014-12-01,0.084325
600004,2015-01-01,0.017383
600004,2015-02-01,0.026978
600004,2015-03-01,0.122592
600004,2015-04-01,0.163807
600004,2015-05-01,0.162198
600004,2015-06-01,-0.0111
600004,2015-07-01,-0.184024
600004,2015-08-01,-0.076867
600004,2015-09-01,-0.05813
600004,2015-10-01,0.122602
600004,2015-11-01,-0.014859
600004,2015-12-01,0.073152
600004,2016-01-01,-0.141954
600004,2016-02-01,-0.076167
600004,2016-03-01,0.099291
600004,2016-04-01,-0.030645
600004,2016-05-01,0.018303
600004,2016-06-01,0.001634
600004,2016-07-01,0.107667
600004,2016-08-01,0.040853
600004,2016-09-01,0.001449
600004,2016-10-01,0.059334
600004,2016-11-01,0.004781
600004,2016-12-01,-0.042148
600004,2017-01-01,0.02484
600004,2017-02-01,0.040859
600004,2017-03-01,0.060546
600004,2017-04-01,0.000627
600004,2017-05-01,0.03511
600004,2017-06-01,0.11811
600004,2017-07-01,0.080937
600004,2017-08-01,-0.008142
600004,2017-09-01,-0.023134
600004,2017-10-01,0.067227
600004,2017-11-01,0.004295
600004,2017-12-01,0.047755
600004,2018-01-01,0.14966
600004,2018-02-01,-0.031361
600004,2018-03-01,-0.044594
600004,2018-04-01,-0.026854
600004,2018-05-01,0.091984
600004,2018-06-01,-0.212395
600004,2018-07-01,0.077383
600004,2018-08-01,-0.119683
600004,2018-09-01,0.045864
600004,2018-10-01,-0.23336
600004,2018-11-01,0.034729
600004,2018-12-01,-0.007897
600005,2013-01-01,0.079422
600005,2013-02-01,-0.040134
600005,2013-03-01,-0.038328
600005,2013-04-01,-0.065217
600005,2013-05-01,0.027132
600005,2013-06-01,-0.151195
600005,2013-07-01,0
600005,2013-08-01,0.049107
600005,2013-09-01,0.021277
